step,K,U,E
363,9.4698547058,-10.4404204434,-0.9705657377
364,9.4881961210,-10.4587619783,-0.9705658572
365,9.5068300394,-10.4773960352,-0.9705659958
366,9.5257543069,-10.4963204601,-0.9705661531
367,9.5449664708,-10.5155327998,-0.9705663290
368,9.5644637840,-10.5350303070,-0.9705665231
369,9.5842432097,-10.5548099447,-0.9705667350
370,9.6043014275,-10.5748683919,-0.9705669644
371,9.6246348395,-10.5952020502,-0.9705672108
372,9.6452395773,-10.6158070509,-0.9705674736
373,9.6661115104,-10.6366792628,-0.9705677524
374,9.6872462541,-10.6578143007,-0.9705680466
375,9.7086391792,-10.6792075347,-0.9705683555
376,9.7302854210,-10.7008540996,-0.9705686786
377,9.7521798900,-10.7227489051,-0.9705690150
378,9.7743172824,-10.7448866466,-0.9705693642
379,9.7966920910,-10.7672618164,-0.9705697254
380,9.8192986168,-10.7898687146,-0.9705700978
381,9.8421309807,-10.8127014614,-0.9705704807
382,9.8651831354,-10.8357540087,-0.9705708733
383,9.8884488775,-10.8590201524,-0.9705712749
384,9.9119218601,-10.8824935446,-0.9705716845
385,9.9355956049,-10.9061677064,-0.9705721016
386,9.9594635146,-10.9300360398,-0.9705725252
387,9.9835188857,-10.9540918403,-0.9705729546
388,10.0077549203,-10.9783283093,-0.9705733890
389,10.0321647385,-11.0027385662,-0.9705738277
390,10.0567413905,-11.0273156604,-0.9705742699
391,10.0814778682,-11.0520525832,-0.9705747150
392,10.1063671169,-11.0769422790,-0.9705751621
393,10.1314020461,-11.1019776568,-0.9705756108
394,10.1565755407,-11.1271516009,-0.9705760602
395,10.1818804714,-11.1524569813,-0.9705765098
396,10.2073097044,-11.1778866635,-0.9705769591
397,10.2328561110,-11.2034335184,-0.9705774075
398,10.2585125769,-11.2290904313,-0.9705778544
399,10.2842720104,-11.2548503098,-0.9705782994
400,10.3101273506,-11.2807060927,-0.9705787421
401,10.3360715746,-11.3066507566,-0.9705791820
402,10.3620977043,-11.3326773232,-0.9705796189
403,10.3881988129,-11.3587788652,-0.9705800523
404,10.4143680301,-11.3849485122,-0.9705804821
405,10.4405985476,-11.4111794556,-0.9705809081
406,10.4668836231,-11.4374649530,-0.9705813299
407,10.4932165842,-11.4637983317,-0.9705817475
408,10.5195908317,-11.4901729924,-0.9705821608
409,10.5459998417,-11.5165824114,-0.9705825696
410,10.5724371683,-11.5430201424,-0.9705829741
411,10.5988964440,-11.5694798182,-0.9705833742
412,10.6253713811,-11.5959551511,-0.9705837700
413,10.6518557718,-11.6224399332,-0.9705841615
414,10.6783434873,-11.6489280362,-0.9705845489
415,10.7048284775,-11.6754134099,-0.9705849324
416,10.7313047692,-11.7018900813,-0.9705853122
417,10.7577664638,-11.7283521523,-0.9705856885
418,10.7842077355,-11.7547937971,-0.9705860615
419,10.8106228278,-11.7812092595,-0.9705864317
420,10.8370060501,-11.8075928494,-0.9705867992
421,10.8633517742,-11.8339389388,-0.9705871646
422,10.8896544297,-11.8602419578,-0.9705875281
423,10.9159084996,-11.8864963897,-0.9705878901
