step,K,U,E
504,2056.4621137190,-5.0587552383,2051.4033584807
505,2056.4638715376,-5.0605124250,2051.4033591125
506,2056.4657970253,-5.0624372456,2051.4033597797
507,2056.4679001486,-5.0645396703,2051.4033604783
508,2056.4701912784,-5.0668300740,2051.4033612044
509,2056.4726811275,-5.0693191740,2051.4033619535
510,2056.4753806845,-5.0720179636,2051.4033627209
511,2056.4783011432,-5.0749376415,2051.4033635017
512,2056.4814538290,-5.0780895382,2051.4033642908
513,2056.4848501231,-5.0814850400,2051.4033650831
514,2056.4885013837,-5.0851355105,2051.4033658732
515,2056.4924188664,-5.0890522107,2051.4033666557
516,2056.4966136439,-5.0932462186,2051.4033674253
517,2056.5010965251,-5.0977283430,2051.4033681820
518,2056.5058779747,-5.1025090650,2051.4033689097
519,2056.5109680344,-5.1075984258,2051.4033696085
520,2056.5163762454,-5.1130059718,2051.4033702736
521,2056.5221115736,-5.1187406736,2051.4033709000
522,2056.5281823379,-5.1248108546,2051.4033714833
523,2056.5345961417,-5.1312241227,2051.4033720190
524,2056.5413598094,-5.1379873061,2051.4033725033
525,2056.5484793265,-5.1451063940,2051.4033729325
526,2056.5559597861,-5.1525864829,2051.4033733032
527,2056.5638053401,-5.1604317273,2051.4033736128
528,2056.5720191569,-5.1686452984,2051.4033738586
529,2056.5806033853,-5.1772293466,2051.4033740387
530,2056.5895591248,-5.1861849733,2051.4033741515
531,2056.5988864028,-5.1955122068,2051.4033741960
532,2056.6085841592,-5.2052099877,2051.4033741715
533,2056.6186502370,-5.2152761592,2051.4033740777
534,2056.6290813806,-5.2257074655,2051.4033739151
535,2056.6398732414,-5.2364995570,2051.4033736844
536,2056.6510203888,-5.2476470021,2051.4033733867
