step,K,U,E
313,0.6493863389,-0.7240062415,-0.0746199025
314,0.6127160161,-0.6873620193,-0.0746460032
315,0.5791669234,-0.6538359205,-0.0746689971
316,0.5484053038,-0.6230945389,-0.0746892351
317,0.5201379497,-0.5948449979,-0.0747070482
318,0.4941071857,-0.5688299238,-0.0747227381
319,0.4700863449,-0.5448229192,-0.0747365743
320,0.4478757598,-0.5226245541,-0.0747487943
321,0.4272992502,-0.5020588559,-0.0747596057
322,0.4082010672,-0.4829702562,-0.0747691890
323,0.3904432463,-0.4652209470,-0.0747777008
324,0.3739033201,-0.4486885964,-0.0747852763
325,0.3584723451,-0.4332643776,-0.0747920325
326,0.3440531985,-0.4188512692,-0.0747980707
327,0.3305591096,-0.4053625880,-0.0748034784
328,0.3179123902,-0.3927207215,-0.0748083313
329,0.3060433378,-0.3808560330,-0.0748126952
330,0.2948892847,-0.3697059119,-0.0748166272
331,0.2843937743,-0.3592139512,-0.0748201769
332,0.2745058443,-0.3493292319,-0.0748233875
333,0.2651794034,-0.3400057003,-0.0748262969
334,0.2563726869,-0.3312016248,-0.0748289380
335,0.2480477816,-0.3228791213,-0.0748313397
336,0.2401702093,-0.3150037369,-0.0748335276
337,0.2327085615,-0.3075440853,-0.0748355239
338,0.2256341776,-0.3004715258,-0.0748373483
339,0.2189208625,-0.2937598807,-0.0748390182
340,0.2125446365,-0.2873851856,-0.0748405491
341,0.2064835141,-0.2813254687,-0.0748419546
342,0.2007173085,-0.2755605552,-0.0748432467
343,0.1952274574,-0.2700718937,-0.0748444363
344,0.1899968688,-0.2648424018,-0.0748455330
345,0.1850097828,-0.2598563281,-0.0748465453
346,0.1802516489,-0.2550991299,-0.0748474810
347,0.1757090163,-0.2505573631,-0.0748483468
348,0.1713694347,-0.2462185837,-0.0748491490
349,0.1672213669,-0.2420712599,-0.0748498930
350,0.1632541087,-0.2381046926,-0.0748505839
351,0.1594577178,-0.2343089441,-0.0748512262
352,0.1558229497,-0.2306747736,-0.0748518239
353,0.1523411991,-0.2271935798,-0.0748523807
354,0.1490044478,-0.2238573477,-0.0748528999
355,0.1458052169,-0.2206586014,-0.0748533844
356,0.1427365240,-0.2175903612,-0.0748538371
357,0.1397918439,-0.2146461043,-0.0748542604
358,0.1369650729,-0.2118197295,-0.0748546566
359,0.1342504971,-0.2091055248,-0.0748550277
360,0.1316427623,-0.2064981379,-0.0748553756
361,0.1291368472,-0.2039925492,-0.0748557020
362,0.1267280393,-0.2015840478,-0.0748560085
363,0.1244119119,-0.1992682084,-0.0748562966
364,0.1221843039,-0.1970408713,-0.0748565674
365,0.1200413009,-0.1948981232,-0.0748568223
366,0.1179792179,-0.1928362802,-0.0748570623
367,0.1159945833,-0.1908518718,-0.0748572885
368,0.1140841246,-0.1889416264,-0.0748575018
369,0.1122447546,-0.1871024577,-0.0748577030
370,0.1104735595,-0.1853314526,-0.0748578930
371,0.1087677870,-0.1836258596,-0.0748580725
372,0.1071248362,-0.1819830784,-0.0748582422
373,0.1055422476,-0.1804006503,-0.0748584026
374,0.1040176942,-0.1788762487,-0.0748585545
375,0.1025489732,-0.1774076714,-0.0748586982
376,0.1011339984,-0.1759928327,-0.0748588343
377,0.0997707927,-0.1746297560,-0.0748589634
378,0.0984574819,-0.1733165675,-0.0748590857
379,0.0971922883,-0.1720514900,-0.0748592017
380,0.0959735251,-0.1708328369,-0.0748593118
381,0.0947995911,-0.1696590073,-0.0748594162
382,0.0936689654,-0.1685284809,-0.0748595155
383,0.0925802035,-0.1674398133,-0.0748596097
384,0.0915319323,-0.1663916316,-0.0748596993
385,0.0905228466,-0.1653826310,-0.0748597844
386,0.0895517049,-0.1644115703,-0.0748598654
387,0.0886173265,-0.1634772688,-0.0748599424
388,0.0877185877,-0.1625786033,-0.0748600156
389,0.0868544192,-0.1617145045,-0.0748600853
390,0.0860238028,-0.1608839544,-0.0748601516
391,0.0852257692,-0.1600859839,-0.0748602147
392,0.0844593951,-0.1593196699,-0.0748602748
393,0.0837238013,-0.1585841333,-0.0748603320
394,0.0830181500,-0.1578785365,-0.0748603865
395,0.0823416431,-0.1572020815,-0.0748604384
396,0.0816935204,-0.1565540081,-0.0748604878
397,0.0810730572,-0.1559335920,-0.0748605348
398,0.0804795634,-0.1553401429,-0.0748605796
399,0.0799123811,-0.1547730033,-0.0748606222
400,0.0793708838,-0.1542315466,-0.0748606628
401,0.0788544746,-0.1537151761,-0.0748607014
402,0.0783625849,-0.1532233232,-0.0748607382
403,0.0778946734,-0.1527554466,-0.0748607732
404,0.0774502247,-0.1523110311,-0.0748608065
405,0.0770287480,-0.1518895861,-0.0748608381
406,0.0766297768,-0.1514906449,-0.0748608681
407,0.0762528671,-0.1511137638,-0.0748608967
408,0.0758975971,-0.1507585208,-0.0748609238
409,0.0755635658,-0.1504245152,-0.0748609494
410,0.0752503928,-0.1501113666,-0.0748609738
411,0.0749577169,-0.1498187138,-0.0748609968
412,0.0746851961,-0.1495462147,-0.0748610187
413,0.0744325061,-0.1492935453,-0.0748610393
