step,K,U,E
489,0.0914021895,-0.1288294933,-0.0374273038
490,0.0897443529,-0.1271718181,-0.0374274652
491,0.0881398470,-0.1255674651,-0.0374276181
492,0.0865864753,-0.1240142382,-0.0374277628
493,0.0850821566,-0.1225100567,-0.0374279001
494,0.0836249178,-0.1210529481,-0.0374280303
495,0.0822128872,-0.1196410410,-0.0374281538
496,0.0808442884,-0.1182725594,-0.0374282710
497,0.0795174343,-0.1169458168,-0.0374283825
498,0.0782307219,-0.1156592103,-0.0374284884
499,0.0769826275,-0.1144112165,-0.0374285891
500,0.0757717014,-0.1132003862,-0.0374286849
501,0.0745965643,-0.1120253404,-0.0374287761
502,0.0734559030,-0.1108847659,-0.0374288629
503,0.0723484663,-0.1097774120,-0.0374289457
504,0.0712730621,-0.1087020867,-0.0374290246
505,0.0702285535,-0.1076576533,-0.0374290998
506,0.0692138562,-0.1066430278,-0.0374291716
507,0.0682279353,-0.1056571754,-0.0374292401
508,0.0672698027,-0.1046991083,-0.0374293056
509,0.0663385149,-0.1037678830,-0.0374293681
510,0.0654331699,-0.1028625978,-0.0374294278
511,0.0645529059,-0.1019823908,-0.0374294849
512,0.0636968983,-0.1011264379,-0.0374295396
513,0.0628643585,-0.1002939503,-0.0374295918
514,0.0620545317,-0.0994841735,-0.0374296419
515,0.0612666951,-0.0986963849,-0.0374296898
516,0.0605001566,-0.0979298923,-0.0374297357
517,0.0597542530,-0.0971840326,-0.0374297797
518,0.0590283485,-0.0964581703,-0.0374298218
519,0.0583218338,-0.0957516961,-0.0374298622
520,0.0576341243,-0.0950640253,-0.0374299010
521,0.0569646591,-0.0943945973,-0.0374299382
522,0.0563129000,-0.0937428739,-0.0374299739
523,0.0556783302,-0.0931083383,-0.0374300082
524,0.0550604534,-0.0924904945,-0.0374300411
525,0.0544587929,-0.0918888656,-0.0374300727
526,0.0538728906,-0.0913029937,-0.0374301031
527,0.0533023062,-0.0907324385,-0.0374301323
528,0.0527466164,-0.0901767767,-0.0374301604
529,0.0522054139,-0.0896356013,-0.0374301874
530,0.0516783072,-0.0891085205,-0.0374302133
531,0.0511649193,-0.0885951576,-0.0374302383
532,0.0506648876,-0.0880951499,-0.0374302624
533,0.0501778627,-0.0876081483,-0.0374302855
534,0.0497035086,-0.0871338164,-0.0374303078
535,0.0492415013,-0.0866718306,-0.0374303293
536,0.0487915288,-0.0862218788,-0.0374303500
537,0.0483532904,-0.0857836604,-0.0374303699
538,0.0479264965,-0.0853568856,-0.0374303891
539,0.0475108677,-0.0849412753,-0.0374304076
540,0.0471061346,-0.0845365601,-0.0374304255
541,0.0467120376,-0.0841424803,-0.0374304427
542,0.0463283262,-0.0837587855,-0.0374304593
543,0.0459547587,-0.0833852340,-0.0374304753
544,0.0455911020,-0.0830215927,-0.0374304907
545,0.0452371310,-0.0826676366,-0.0374305056
546,0.0448926285,-0.0823231485,-0.0374305200
547,0.0445573850,-0.0819879188,-0.0374305339
548,0.0442311980,-0.0816617452,-0.0374305473
549,0.0439138721,-0.0813444323,-0.0374305602
550,0.0436052186,-0.0810357912,-0.0374305727
551,0.0433050552,-0.0807356399,-0.0374305847
552,0.0430132059,-0.0804438023,-0.0374305963
553,0.0427295007,-0.0801601083,-0.0374306076
554,0.0424537752,-0.0798843936,-0.0374306184
555,0.0421858707,-0.0796164996,-0.0374306289
556,0.0419256338,-0.0793562729,-0.0374306390
557,0.0416729165,-0.0791035653,-0.0374306488
